pc_VO2max, avDiff_mLper100mL
10.44176706827309, 3.3387096774193523
10.843373493975903, 4.838709677419354
7.630522088353409, 5.32258064516129
8.032128514056222, 5.370967741935482
7.4297188755020045, 5.661290322580644
20.281124497991968, 5.903225806451612
13.453815261044177, 6.580645161290322
14.457831325301207, 6.82258064516129
11.84738955823293, 7.354838709677418
11.044176706827308, 7.887096774193548
21.28514056224899, 7.064516129032258
18.072289156626503, 7.403225806451612
16.06425702811245, 7.741935483870968
19.076305220883533, 7.935483870967742
20.481927710843372, 8.032258064516128
22.489959839357425, 7.5
24.8995983935743, 7.209677419354838
29.91967871485943, 7.935483870967742
34.33734939759036, 8.17741935483871
27.10843373493976, 8.32258064516129
23.89558232931727, 8.370967741935482
23.29317269076305, 8.419354838709678
21.485943775100395, 8.467741935483872
16.66666666666667, 8.61290322580645
15.662650602409641, 9.338709677419354
31.726907630522085, 8.61290322580645
33.734939759036145, 8.903225806451612
27.710843373493972, 9.483870967741936
29.317269076305223, 9.532258064516128
36.54618473895582, 9.725806451612904
37.95180722891566, 9.629032258064516
30.12048192771084, 9.870967741935484
29.518072289156628, 10.161290322580646
24.497991967871485, 10.935483870967742
32.730923694779115, 10.20967741935484
36.74698795180723, 10.258064516129032
37.34939759036145, 10.11290322580645
38.15261044176707, 10.20967741935484
33.93574297188755, 10.596774193548386
35.7429718875502, 10.645161290322582
37.75100401606426, 10.790322580645162
39.558232931726906, 10.645161290322582
40.963855421686745, 10.5
35.54216867469879, 11.274193548387096
36.94779116465863, 11.661290322580646
46.18473895582329, 10.161290322580646
45.98393574297188, 10.596774193548386
46.98795180722891, 10.596774193548386
43.1726907630522, 11.564516129032258
52.40963855421687, 10.11290322580645
50.80321285140562, 10.5
49.39759036144578, 10.887096774193548
53.815261044176694, 10.741935483870968
45.98393574297188, 12.193548387096776
48.59437751004016, 11.758064516129032
51.00401606425703, 11.612903225806452
51.40562248995984, 11.758064516129032
54.417670682730915, 11.612903225806452
54.618473895582326, 11.806451612903226
60.441767068273094, 10.693548387096774
66.06425702811245, 10.887096774193548
66.66666666666667, 11.516129032258064
62.24899598393573, 11.70967741935484
60.441767068273094, 11.951612903225808
59.036144578313255, 12.241935483870968
71.08433734939759, 11.370967741935484
65.66265060240964, 12.14516129032258
62.44979919678714, 12.241935483870968
62.44979919678714, 12.483870967741936
63.85542168674698, 12.725806451612904
61.044176706827315, 12.967741935483872
60.24096385542168, 13.403225806451612
70.68273092369479, 11.951612903225808
75.3012048192771, 11.661290322580646
74.29718875502007, 12.338709677419356
74.29718875502007, 13.306451612903226
73.89558232931726, 14.080645161290324
70.08032128514057, 14.467741935483872
79.11646586345383, 12.67741935483871
83.13253012048193, 13.06451612903226
84.93975903614458, 13.258064516129032
82.3293172690763, 13.5
89.7590361445783, 13.306451612903226
81.72690763052208, 14.177419354838712
78.714859437751, 14.370967741935484
80.12048192771084, 15.241935483870968
83.73493975903614, 14.70967741935484
86.94779116465864, 15
89.15662650602408, 15
99.59839357429719, 14.661290322580646
99.59839357429719, 14.903225806451612
94.37751004016064, 15.096774193548388
95.58232931726909, 15.435483870967744
91.96787148594377, 15.53225806451613
95.58232931726909, 16.161290322580648
96.7871485943775, 16.548387096774196
87.55020080321286, 15.725806451612904
87.34939759036145, 16.161290322580648
99.59839357429719, 15.725806451612904
99.59839357429719, 15.967741935483872
99.59839357429719, 16.20967741935484
99.59839357429719, 17.516129032258064
99.59839357429719, 17.612903225806452
96.18473895582329, 17.903225806451616
99.59839357429719, 18.290322580645164
